Zona,Comune,Nome Palestra,Indirizzo,Latitudine,Longitudine,Indirizzo Completo,Stato
2,Maser,DG Club Maser,"Via Enrico Mattei, 44, Maser",45.7922914,11.9621052,"Via Enrico Mattei, Zona Industriale Maser, Case Zamattia, Coste di Maser, Maser, Fonte, Treviso, Veneto, 31010, Italia",OK
2,Maser,Energya Fitness Club,"Via Bassanese Coste, 156, Maser",45.8025312,11.9577877,"Via Bassanese, Case Zamattia, Coste di Maser, Maser, Fonte, Treviso, Veneto, 31010, Italia",OK
2,Fonte,Palestra Fisyodinamic,"Via Degli Alpini, 25, Fonte",45.748569,11.9188215,"25, Via degli Alpini, Case Barichello, San Vito di Altivole, Altivole, Fonte, Treviso, Veneto, 31030, Italia",OK
2,Borso del Grappa,L'Anima del Fitness,"Via Molinetto, 23, Borso del Grappa",45.8160155,11.8062557,"Via Molinetto, Carrari, Borso del Grappa, Pieve del Grappa, Treviso, Veneto, 31030, Italia",OK
2,Volpago del Montello,Invictus Fitness,"Via Tagliamento, 11, Volpago del Montello",45.7767088,12.1084689,"Via Tagliamento, Case Brosa, Volpago del Montello, Treviso, Veneto, 31040, Italia",OK
2,Giavera del Montello,Palestra Comunale,"Via degli Artiglieri, 14, Giavera del Montello",45.7920175,12.1711431,"Via degli Artiglieri, All'Alpino, Giavera del Montello, Treviso, Veneto, 31040, Italia",OK
2,Altivole,ASD Fast Fit,"Via Laguna, 29, Altivole",45.7487093,11.9616742,"Scuola Secondaria ""Fra Giocondo"" | IC Altivole, 29, Via Laguna, Baldin e Perer, Altivole, Fonte, Treviso, Veneto, 31030, Italia",OK
2,Paderno del Grappa,Istituti Filippin,"Via Cardinal la Fontaine, 2, Paderno del Grappa",,,,NON TROVATO
2,Segusino,CIDI,"Via Della Centa, 3, Segusino",45.9089739,11.9530607,"Via della Centa, Col Lonc, Segusino, Pieve del Grappa, Treviso, Veneto, 31040, Italia",OK
2,Possagno,Palestra Comunale,"Via degli Impianti Sportivi, 7, Possagno",,,,NON TROVATO
2,Crespano del Grappa,Challenge Fit Center,"Via Papa Giovanni XXIII, 18, Crespano del Grappa",45.8265157,11.8497232,"Via Papa Giovanni XXIII, Pedecol, Ai Baruffa, Paderno del Grappa, Pieve del Grappa, Treviso, Veneto, 31017, Italia",OK
2,Crespano del Grappa,Alpha AP Fitness,"Via Asolana, 29/A, Crespano del Grappa",45.8193386,11.8417822,"Via Asolana, Ai Baruffa, Crespano del Grappa, Pieve del Grappa, Treviso, Veneto, 31017, Italia",OK
3,Castelfranco Veneto,FitUP Castelfranco Veneto,"Via dei Tigli, 25/A, Castelfranco Veneto",,,,NON TROVATO
3,Castelfranco Veneto,Happy Fit Castelfranco,"Via delle Industrie, 18, Castelfranco Veneto",,,,NON TROVATO
3,Castelfranco Veneto,DG Club Castelfranco,"Via dei Tigli, 30, Castelfranco Veneto",,,,NON TROVATO
3,Castelfranco Veneto,Kinesis Palestra,"Via dei Tigli, 15/A, Castelfranco Veneto",,,,NON TROVATO
3,Resana,Happy Fit Resana,"Via dell'Industria, 12, Resana",,,,NON TROVATO
3,Loria,Happy Fit Loria,"Via dell'Artigianato, 7, Loria",,,,NON TROVATO
3,Vedelago,Happy Fit Vedelago,"Via dell'Industria, 22, Vedelago",45.6820594,11.9953305,"Via dell'Industria, Case Lanaro, Vedelago, Fonte, Treviso, Veneto, 31050, Italia",OK
3,Maserada sul Piave,Happy Fit Maserada,"Via dell'Industria, 15, Maserada sul Piave",45.7629389,12.3070616,"Via dell'Industria, Maserada sul Piave, Treviso, Veneto, 31052, Italia",OK
5,Conegliano,Medicenter Conegliano,"Viale Italia, 290, Conegliano",45.8823843,12.3159662,"Morgan Camicie, 290b, Viale Italia, Monticella, Santa Rosa, Conegliano, Treviso, Veneto, 31015, Italia",OK
5,Conegliano,Sportway,"Via Feltrina Sud, 189, Conegliano",,,,NON TROVATO
5,Vittorio Veneto,Flow Palestra,"Via Carlo Torres, 17/5, Vittorio Veneto",45.9727274,12.3136097,"Via Carlo Torres, Ceneda Bassa, Ai Frati, San Giacomo di Veglia, Vittorio Veneto, Treviso, Veneto, 31029, Italia",OK
5,Vittorio Veneto,Body Evidence Vittorio Veneto,"Via Menarè, 304/A, Vittorio Veneto",45.9478278,12.3280934,"Via Gabriele d'Annunzio, Mescolino, Colle Umberto, Treviso, Veneto, 31014, Italia",OK
5,San Vendemiano,WebFit,"Via Resistenza, 2, San Vendemiano",45.8812555,12.3242046,"Sonepar, 2d, Via Resistenza, Fossamerlo, Cosniga, San Vendemiano, Treviso, Veneto, 31020, Italia",OK
5,San Vendemiano,NEWFIT San Vendemiano,"Via Resistenza, 2/f, San Vendemiano",45.8826354,12.3197888,"Via Resistenza, Cosniga, San Vendemiano, Treviso, Veneto, 31020, Italia",OK
5,Colle Umberto,Energy Fitness ASD,"Viale dell'Artigianato, 12, Colle Umberto",,,,NON TROVATO
5,Colle Umberto,Palestra Olimpia ASD,"Via Vittorio Veneto, 12, Colle Umberto",45.9578979,12.3393411,"Via Vittorio Veneto, Mescolino, Colle Umberto, Treviso, Veneto, 31014, Italia",OK
5,Godega di Sant'Urbano,i GO Club Pianzano,"Via S. Urbano, 45, Godega di Sant'Urbano",45.9109991,12.3897481,"Via San Lorenzo, Baver, Pianzano, Godega di Sant'Urbano, Treviso, Veneto, 31010, Italia",OK
5,Mareno di Piave,Palestra In.Forma,"Via Verri, 79, Mareno di Piave",45.8416312,12.3457224,"Via Verri, Borgo Fagaraz, Mareno di Piave, Treviso, Veneto, 31010, Italia",OK
5,San Fior,Palestra Arcostruttura,"Via I. Mel, 6, San Fior",,,,NON TROVATO
5,Povegliano,Palestra Fit POINT,"Via Prato della Valle, 10, Povegliano",45.7685126,12.1962323,"Via Prato della Valle, Cecconato, Povegliano, Treviso, Veneto, 31050, Italia",OK
6,Oderzo,FirstFit Oderzo,Oderzo,45.7776511,12.4932002,"Oderzo, Treviso, Veneto, 31046, Italia",OK
6,Oderzo,Bewellness Oderzo,Oderzo,45.7776511,12.4932002,"Oderzo, Treviso, Veneto, 31046, Italia",OK
6,Oderzo,Brandolini Sport,Oderzo,45.7776511,12.4932002,"Oderzo, Treviso, Veneto, 31046, Italia",OK
6,Motta di Livenza,Gymnasium Piscine,"Via Friuli, 42/B, Motta di Livenza",45.7414406,12.6183495,"Via Friuli, Zona Industriale SUD Motta di Livenza, Motta di Livenza, Treviso, Veneto, 31045, Italia",OK
6,Motta di Livenza,Laboratorio del Movimento,"Via Cattaneo, 1, Motta di Livenza",45.7722925,12.6006524,"Via Carlo Cattaneo, Ponte Redigole, Motta di Livenza, Treviso, Veneto, 31045, Italia",OK
6,Ponte di Piave,Lime Fitness House,"Via dell'Artigianato, 13, Ponte di Piave",45.7332194,12.4700295,"Via dell'Artigianato, Levada, Grasseghella, Levada, Ponte di Piave, Treviso, Veneto, 31047, Italia",OK
6,Gorgo al Monticano,Body Up,"Via Monticano, 3, Gorgo al Monticano",45.78615,12.5415687,"Via Monticano, Gorgo dei Molini, Gorgo al Monticano, Treviso, Veneto, 31040, Italia",OK
6,San Polo di Piave,Energy Salus,"Via del Commercio, 24, San Polo di Piave",45.7827671,12.4111342,"Via del Commercio, San Giorgio di San Polo, San Polo di Piave, Treviso, Veneto, 31020, Italia",OK
